Date,IE00B84J9L26,IE00BK1KHS51,IE00BRB37Q12,IE00BRB37T43,IE00BYR8FS70,LP68838366,LU0067412154,LU0110450813,LU0154237738,LU0329760770,LU1670722161,LU1670724373,LU1889097876,LU1897340425,LU2286300988,LU2530434740,PTF
2024-10-09,365675.31,287763.9550058,306187.365771,277795.929246,38865.86,,116462.57212360001,280729.6899138,142761.169784,156369.4,341086.6986,369602.4992,189176.1106292,218407.9,80065.7,238374.59999999998,3409324.7602733998
2024-10-10,365945.57999999996,288489.4881505,307113.31553280004,278426.360507,38881.04,,118021.4018696,281123.2255932,143085.15353450002,156806.0,341118.4523,368355.0698,189304.8064594,219936.05000000002,82082.0,238374.59999999998,3417062.543747
2024-10-11,366215.85000000003,288201.0623401,306754.5459384,278114.8520045,38921.520000000004,,117794.8943492,280826.7792165,142920.144317,156598.80000000002,342333.753,367981.1904,188860.99065750002,220406.25,83833.75,238374.59999999998,3418138.9822232
2024-10-14,365675.31,288996.9934488,307344.7215678,278859.5969474,39050.549999999996,,117632.52694119999,281578.78517309995,143192.96579400002,157982.6,341184.84640000004,368271.20900000003,189550.172306,220406.25,83833.75,238374.59999999998,3421934.8775783
2024-10-15,366215.85000000003,290080.1031765,307904.41495799995,280052.1019802,39136.57,,113245.280041,282001.4582184,143565.892743,159107.4,342631.08310000005,369431.28339999996,189680.95653509998,222874.80000000002,84427.2,240156.84,3430511.2341521997
2024-10-16,366486.12,291373.2678038,309045.8935368,281116.6184188,39111.270000000004,,112484.0724912,282744.1813743,143881.76427500002,160972.2,341557.2307,371388.0354,190617.298091,220406.25,83705.04999999999,241270.74,3436159.9920909
2024-10-17,365675.31,292778.3503099,309811.0012746,281547.7744775,39189.700000000004,,110897.6983696,283592.61286379996,144452.79104799998,161867.6,341707.33910000004,371513.82660000003,191688.8369452,223345.0,84377.15000000001,241270.74,3443715.7309886003
2024-10-18,366215.85000000003,292449.38127859996,309206.700222,281236.5854709,39235.240000000005,,113908.77156499999,282887.8988427,144173.1072315,160779.80000000002,341791.0534,370835.9518,190761.68594630001,224402.95,83969.59999999999,240379.62,3442234.195757
2024-10-21,364594.23,292127.0192477,308446.63836000004,280240.9777129,39174.520000000004,,113518.5688064,282611.9721312,144359.755429,161379.2,342045.083,369815.64540000004,191258.61475799998,224402.95,84169.8,240379.62,3438524.5948452
2024-10-22,364323.96,292375.0942203,308939.0491992,280449.27440630004,39103.68,,113941.6496486,282600.2816685,144588.5372635,160195.19999999998,342027.76279999997,367977.6962,190967.8067129,224285.4,84176.95,240602.40000000002,3436554.7421193
2024-10-23,363242.88,293149.6066772,309001.520625,280677.5895909,39088.5,,115373.76592399999,282712.1574744,144945.01906750002,161164.6,342079.72339999996,367904.31799999997,191174.9806893,225108.24999999997,83912.4,240156.84,3439692.1514483
2024-10-24,363513.14999999997,292767.3686392,308808.5354382,280529.3483711,39215.0,,112781.9160824,282723.78608279995,144635.1834195,161690.0,342073.95,368362.05819999997,190671.7506395,223227.44999999998,82103.45,239711.28,3432814.2268727
2024-10-25,363242.88,291804.6266044,307611.4007736,279653.54182,39131.509999999995,,112563.88279560002,281841.1272171,144294.375482,160195.19999999998,342192.30470000004,368089.5106,190220.6664886,224167.85,82904.25,240379.62,3428292.7464813
2024-10-28,362702.34,292149.3042832,307508.1206064,279758.4364701,39131.509999999995,,113355.2466246,282051.08465489995,144353.9438515,159943.59999999998,342408.8072,367516.4618,190362.06891459998,224520.50000000003,83240.3,239934.06,3428935.7844053
2024-10-29,362972.61,291970.721042,308325.615591,280289.4971895,39103.68,,113525.2719602,282401.71938900003,144516.88633049998,158545.0,342509.8417,366338.9164,190424.89508170003,224755.6,83218.85,239934.06,3428833.1646839
2024-10-30,362432.07,289773.2898697,306002.1374508,278599.73459129996,38959.47,,111614.4022646,280882.88705250004,143645.647498,157856.8,342602.21609999996,367488.5082,189444.6130523,222639.7,83640.7,239042.94,3414625.1160792
2024-10-31,361621.26,289454.6422313,305739.68880420004,278334.8602957,38858.270000000004,,111108.3284786,280517.457834,143630.2471175,157116.8,342905.3196,365231.255,189544.19343820002,217702.6,82031.95,238151.81999999998,3401948.6927995
2024-11-01,361350.99,289564.6544882,305493.32688420004,277859.79184250004,38944.29,,111187.90607059999,280718.3692467,143733.117437,157116.8,342905.3196,365231.255,189679.9473759,217702.6,82031.95,238151.81999999998,3401672.1379451
2024-11-04,361891.53,288564.7999325,304544.035845,277246.3792257,38964.53,,111233.02735559999,279420.4405638,143288.659505,155962.4,343107.3886,364668.6888,188407.9702825,218995.65,80880.8,238374.59999999998,3395550.9001101
2024-11-05,362432.07,288270.9261705,304926.86863800004,277173.3414874,38967.060000000005,,113622.7608916,279468.8432163,143140.888302,156280.6,343098.7285,363987.3198,188475.8802893,220053.59999999998,80773.55,237483.48,3398155.9172951
2024-11-06,362432.07,292810.8583036,309573.1433844,281169.610838,39020.189999999995,,114059.98605580001,283293.6557346,145098.5742595,158656.0,343346.9847,361010.26139999996,191092.3017177,223932.75,84284.2,241270.74,3431051.3263936
2024-11-07,364323.96,291608.24225260003,309343.63302360004,281069.40619259997,39035.369999999995,,115753.9805676,282912.3452583,144337.46991850002,158892.8,343502.8665,360957.84839999996,189488.44540159998,226871.5,86607.95,241047.96,3435753.7775148
